timestamp,datetime,resource_id,resource_type,location,previous_location,route_path
1387.0,2025-12-01T23:07:00+00:00,W11509,wagon,WS_01,,
1387.0,2025-12-01T23:07:00+00:00,W6557,wagon,WS_01,,
1387.0,2025-12-01T23:07:00+00:00,LOCO_01,locomotive,track_19,WS_01,
1392.0,2025-12-01T23:12:00+00:00,LOCO_01,locomotive,retrofitted,track_19,
1401.0,2025-12-01T23:21:00+00:00,LOCO_01,locomotive,parking16,retrofitted,
1413.5,2025-12-01T23:33:30+00:00,LOCO_02,locomotive,track_19,retrofit,
1421.5,2025-12-01T23:41:30+00:00,LOCO_02,locomotive,WS_02,track_19,
1428.5,2025-12-01T23:48:30+00:00,LOCO_02,locomotive,retrofitted,WS_02,
1428.5,2025-12-01T23:48:30+00:00,W0689,wagon,WS_02,,WS_02|retrofitted
1428.5,2025-12-01T23:48:30+00:00,W11268,wagon,WS_02,,WS_02|retrofitted
1433.5,2025-12-01T23:53:30+00:00,W0689,wagon,retrofitted,,
1433.5,2025-12-01T23:53:30+00:00,W11268,wagon,retrofitted,,
1433.5,2025-12-01T23:53:30+00:00,LOCO_02,locomotive,track_19,retrofitted,
1440.5,2025-12-02T00:00:30+00:00,LOCO_02,locomotive,retrofit,track_19,
1448.5,2025-12-02T00:08:30+00:00,LOCO_02,locomotive,WS_02,retrofit,
1448.5,2025-12-02T00:08:30+00:00,W10356,wagon,retrofit,,retrofit|WS_02
1448.5,2025-12-02T00:08:30+00:00,W6006,wagon,retrofit,,retrofit|WS_02
1453.5,2025-12-02T00:13:30+00:00,W10356,wagon,WS_02,,
1453.5,2025-12-02T00:13:30+00:00,W6006,wagon,WS_02,,
1459.5,2025-12-02T00:19:30+00:00,W10356,wagon,WS_02,,
1459.5,2025-12-02T00:19:30+00:00,W6006,wagon,WS_02,,
1459.5,2025-12-02T00:19:30+00:00,LOCO_02,locomotive,track_19,WS_02,
1464.5,2025-12-02T00:24:30+00:00,LOCO_02,locomotive,WS_01,track_19,
1471.5,2025-12-02T00:31:30+00:00,LOCO_02,locomotive,retrofitted,WS_01,
1471.5,2025-12-02T00:31:30+00:00,W11509,wagon,WS_01,,WS_01|retrofitted
1471.5,2025-12-02T00:31:30+00:00,W6557,wagon,WS_01,,WS_01|retrofitted
1476.5,2025-12-02T00:36:30+00:00,W11509,wagon,retrofitted,,
1476.5,2025-12-02T00:36:30+00:00,W6557,wagon,retrofitted,,
1476.5,2025-12-02T00:36:30+00:00,LOCO_02,locomotive,track_19,retrofitted,
1479.0,2025-12-02T00:39:00+00:00,W9868,wagon,collection1,,
1479.0,2025-12-02T00:39:00+00:00,W12060,wagon,collection1,,
1479.0,2025-12-02T00:39:00+00:00,W12210,wagon,collection1,,
1479.0,2025-12-02T00:39:00+00:00,W8636,wagon,collection1,,
1479.0,2025-12-02T00:39:00+00:00,W10949,wagon,collection1,,
1479.0,2025-12-02T00:39:00+00:00,W8631,wagon,collection1,,
1483.5,2025-12-02T00:43:30+00:00,LOCO_02,locomotive,retrofit,track_19,
1491.5,2025-12-02T00:51:30+00:00,LOCO_02,locomotive,WS_01,retrofit,
1491.5,2025-12-02T00:51:30+00:00,W4440,wagon,retrofit,,retrofit|WS_01
1491.5,2025-12-02T00:51:30+00:00,W10383,wagon,retrofit,,retrofit|WS_01
1496.5,2025-12-02T00:56:30+00:00,W4440,wagon,WS_01,,
1496.5,2025-12-02T00:56:30+00:00,W10383,wagon,WS_01,,
1502.5,2025-12-02T01:02:30+00:00,W4440,wagon,WS_01,,
1502.5,2025-12-02T01:02:30+00:00,W10383,wagon,WS_01,,
1502.5,2025-12-02T01:02:30+00:00,LOCO_02,locomotive,track_19,WS_01,
1507.5,2025-12-02T01:07:30+00:00,LOCO_02,locomotive,collection1,track_19,
1509.0,2025-12-02T01:09:00+00:00,W9392,wagon,collection1,,
1509.0,2025-12-02T01:09:00+00:00,W9274,wagon,collection1,,
1509.0,2025-12-02T01:09:00+00:00,W8613,wagon,collection1,,
1509.0,2025-12-02T01:09:00+00:00,W10130,wagon,collection1,,
1509.0,2025-12-02T01:09:00+00:00,W9721,wagon,collection1,,
1509.0,2025-12-02T01:09:00+00:00,W9756,wagon,collection1,,
1526.5,2025-12-02T01:26:30+00:00,W9460,wagon,parking16,,
1526.5,2025-12-02T01:26:30+00:00,W9445,wagon,parking16,,
1526.5,2025-12-02T01:26:30+00:00,W10704,wagon,parking16,,
1526.5,2025-12-02T01:26:30+00:00,W3675,wagon,parking16,,
1526.5,2025-12-02T01:26:30+00:00,W7132,wagon,parking16,,
1526.5,2025-12-02T01:26:30+00:00,W8934,wagon,parking16,,
1526.5,2025-12-02T01:26:30+00:00,LOCO_01,locomotive,track_19,parking16,
1586.5,2025-12-02T02:26:30+00:00,LOCO_02,locomotive,retrofit,collection1,
