timestamp,datetime,locomotive_id,event_type,location,from_location,to_location,purpose,coupler_type,wagon_count,duration_min
1518.0,2025-12-02T01:18:00+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,retrofitted,,,,DAC,4,0.5
1518.0,2025-12-02T01:18:00+00:00,LOCO_01,SHUNTING_PREP,retrofitted,,,,,4,1.0
1519.0,2025-12-02T01:19:00+00:00,LOCO_01,MOVING,parking16,retrofitted,parking16,,,0,120.0
1639.0,2025-12-02T03:19:00+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,parking16,,,,DAC,4,0.5
1639.5,2025-12-02T03:19:30+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,parking16,,,,DAC,4,0.5
1639.5,2025-12-02T03:19:30+00:00,LOCO_01,RAKE_DECOUPLING_STARTED,parking16,,,,DAC,4,1.5
1641.0,2025-12-02T03:21:00+00:00,LOCO_01,RAKE_DECOUPLING_COMPLETED,parking16,,,,DAC,4,1.5
1642.5,2025-12-02T03:22:30+00:00,LOCO_01,MOVING,track_19,parking16,track_19,,,0,60.0
1702.5,2025-12-02T04:22:30+00:00,LOCO_01,MOVING,collection2,track_19,collection2,,,0,60.0
1762.5,2025-12-02T05:22:30+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
1762.5,2025-12-02T05:22:30+00:00,LOCO_01,LOCO_COUPLING_STARTED,collection2,,,,SCREW,1,2.0
1764.5,2025-12-02T05:24:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,collection2,,,,SCREW,1,2.0
1764.5,2025-12-02T05:24:30+00:00,LOCO_01,SHUNTING_PREP,collection2,,,,,1,1.0
1765.5,2025-12-02T05:25:30+00:00,LOCO_01,MOVING,retrofit,collection2,retrofit,,,0,60.0
1825.5,2025-12-02T06:25:30+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,retrofit,,,,SCREW,1,3.0
1828.5,2025-12-02T06:28:30+00:00,LOCO_01,MOVING,track_19,retrofit,track_19,,,0,0.0
1828.5,2025-12-02T06:28:30+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,retrofit,,,,SCREW,1,3.0
1833.5,2025-12-02T06:33:30+00:00,LOCO_01,PARKING,,,,,,0,0.0
